DATETIME;ATHN;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;IRKT;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;NRLK;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2023-04-23 00:00:00; 56.182;217.383;253.382;   null;118.000;1301.600;130.170;150.136;349.538;415.346;346.600;367.000;170.000;106.997; 90.720;169.337;211.733;214.183;281.811;102.596;173.180;118.680; 98.133;202.620;178.680;   null;198.490;213.800;116.420;215.482;135.370;276.920;  4.660; 17.456;109.176
2023-04-23 00:01:00; 52.846;221.100;258.798;   null;123.967;1282.800;127.505;154.071;349.006;418.165;343.430;372.000;168.000;105.919; 89.960;167.945;206.267;213.967;283.945;102.780;167.116;120.150; 95.600;204.630;183.550;256.210;203.560;204.960;119.650;223.857;134.080;275.250;  4.790; 17.739;112.275
2023-04-23 00:02:00; 53.306;219.650;263.611;   null;119.617;1294.400;124.252;153.263;348.047;424.944;353.730;378.000;162.000;103.168; 89.630;171.203;206.800;212.788;292.447;100.622;167.660;122.840; 95.333;207.040;177.470;257.140;198.660;209.830;115.510;221.355;136.690;277.010;  4.493; 18.394;111.132
2023-04-23 00:03:00; 52.912;223.200;258.781;   null;119.417;1317.400;122.385;156.517;353.549;423.495;341.300;373.000;173.000;101.117; 90.980;175.142;206.400;213.967;294.573;100.118;165.450;124.970; 95.200;210.400;192.640;   null;200.030;206.390;118.910;212.872;136.840;284.170;  5.273; 16.882;108.487
2023-04-23 00:04:00; 54.893;218.417;254.123;   null;119.533;1298.500;126.092;155.687;341.097;420.367;338.400;375.000;168.000;105.765; 89.920;168.519;209.200;216.276;291.733;106.312;164.343;120.470; 96.133;204.410;191.900;   null;202.880;198.210;120.450;220.680;135.590;279.400;  4.976; 17.678;110.898
2023-04-23 00:05:00; 51.759;219.833;259.644;   null;120.400;1303.700;124.379;157.777;342.911;425.059;342.610;370.000;166.000;104.372; 93.470;167.207;206.000;213.003;291.842;102.563;166.651;118.290; 99.467;204.240;184.220;259.600;200.740;205.610;114.130;220.693;136.130;277.640;  4.826; 17.083;108.487
2023-04-23 00:06:00; 53.562;217.500;257.936;   null;119.567;1280.600;126.348;159.456;346.430;414.061;342.000;372.000;167.000;104.874; 92.350;167.415;211.733;211.393;291.588; 98.574;169.757;121.810; 96.667;206.060;179.320;   null;198.830;205.910;119.220;222.842;134.360;279.750;  5.050; 17.066;112.042
2023-04-23 00:07:00; 53.836;219.250;254.795;   null;121.083;1283.300;124.698;156.125;348.342;416.445;345.000;372.000;167.000;104.577; 88.920;171.567;205.867;217.452;289.770;101.736;168.802;121.880; 98.933;211.680;185.350;   null;202.880;204.250;117.730;221.965;136.850;281.500;  4.827; 17.660;112.964
2023-04-23 00:08:00; 49.139;220.100;256.711;   null;120.400;1261.100;128.058;153.127;345.080;420.384;348.400;375.000;166.000;104.046; 92.980;169.640;206.400;212.788;288.578;105.430;169.703;122.430; 99.067;212.250;183.140;258.010;201.280;208.680;118.700;218.063;138.350;279.970;  4.735; 18.489;116.408
2023-04-23 00:09:00; 51.652;220.417;251.863;   null;123.900;1300.600;125.931;154.092;353.654;420.384;343.710;377.000;173.000;112.720; 89.900;171.376;208.800;212.788;292.517;102.813;165.516;121.130; 96.667;205.240;189.080;260.980;206.800;210.240;114.900;208.485;134.640;277.220;  5.051; 17.258;108.939
2023-04-23 00:10:00; 52.115;220.983;255.969;   null;119.933;1277.800;123.549;159.052;346.948;415.247;346.460;376.000;171.000;103.721; 93.540;169.685;210.800;209.088;291.142;102.923;168.095;120.360; 97.600;207.290;186.330;254.290;199.520;199.410;116.490;219.647;134.100;281.230;  4.457; 17.402;106.765
