DATETIME;ATHN;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2024-03-23 00:00:00;   null;217.758;256.639; 68.617;119.984;1283.700;117.773;150.226;355.703;404.949;337.755;407.000;103.781; 88.020;164.782;205.333;210.331;271.438;100.270;160.745; 96.867;202.465;176.975;243.200;195.525;200.370;114.995;223.570;128.135;267.760;  4.831; 17.007;109.185
2024-03-23 00:02:00;   null;223.559;256.908; 71.258;124.859;1283.450;122.025;151.833;350.779;398.379;341.355;407.500;103.687; 86.615;167.436;206.067;211.089;274.899; 96.698;159.676; 95.467;203.075;178.880;   null;195.310;195.940;113.430;227.755;129.245;266.160;  4.206; 16.453;106.426
2024-03-23 00:04:00;   null;219.600;258.577; 71.608;122.700;1290.500;120.834;152.493;347.416;405.511;337.315;410.000;105.105; 87.530;168.387;204.933;214.378;271.182;100.473;163.466; 96.133;200.115;174.350;245.000;194.140;201.890;113.230;225.245;128.945;262.725;  4.161; 17.043;107.095
2024-03-23 00:06:00;   null;220.850;257.226; 69.467;123.483;1275.050;120.069;149.329;352.383;399.342;338.290;406.000; 99.028; 87.690;160.899;203.533;210.226;273.206; 98.836;163.929; 95.333;196.635;175.300;   null;199.235;195.880;113.375;224.680;128.895;269.810;  4.161; 17.420;106.824
2024-03-23 00:08:00;   null;218.092;256.839; 70.575;122.017;1274.000;122.867;150.059;355.639;406.636;338.655;409.500;104.308; 91.180;168.515;204.867;207.416;274.119; 99.939;162.700; 97.533;199.765;178.145;245.500;195.715;197.795;113.915;226.550;128.260;267.555;  4.410; 16.592;109.243
2024-03-23 00:10:00;   null;224.733;257.404; 73.683;117.975;1277.300;118.321;151.330;354.207;400.314;337.500;408.000;104.403; 88.360;161.869;207.933;210.817;272.788; 99.345;161.224; 95.733;200.210;177.230;246.050;192.335;201.715;114.555;225.305;127.740;265.350;  4.670; 17.380;109.741
2024-03-23 00:12:00;   null;217.075;258.194; 72.700;123.400;1285.500;121.025;153.616;349.140;400.480;343.580;413.500;103.250; 88.665;161.978;204.600;215.132;276.131; 98.628;163.613; 95.067;198.415;177.995;250.100;194.955;202.590;110.190;229.615;127.465;265.915;  4.509; 17.103;107.377
2024-03-23 00:14:00;   null;222.550;261.607; 69.717;120.750;1294.500;121.558;149.928;349.478;403.755;341.640;409.500;101.804; 88.455;163.731;205.733;211.736;271.454; 97.873;162.486; 94.667;194.055;174.630;   null;193.935;207.485;112.645;228.685;128.050;272.225;  4.356; 16.930;107.984
2024-03-23 00:16:00;   null;222.233;254.880; 72.367;121.500;1293.150;119.680;153.169;353.047;404.855;340.095;414.000;103.187; 90.285;163.324;202.200;211.194;275.063; 99.369;164.095; 95.733;196.835;178.440;   null;193.375;198.580;116.060;224.165;128.535;269.975;  4.284; 17.160;108.751
2024-03-23 00:18:00;   null;218.900;255.229; 67.958;120.883;1289.500;120.861;153.668;347.167;404.917;339.495;410.000;105.573; 90.685;167.593;202.867;212.435;276.400;102.576;163.205; 96.067;203.110;175.250;248.750;196.100;197.130;112.215;227.425;129.615;267.800;  4.858; 16.672;107.214
