DATETIME;MXCO;NANM;CALM;ROME;AATB;BKSN;JUNG;JUNG1;LMKS;IRK2;IRK3;DRBS;NEWK;KIEL2;YKTK;KERG;CALG;OULU;APTY;TXBY;FSMT;INVK;JBGO;NAIN;PWNK;THUL;MWSB;MWSN;SOPB;SOPO;DOMB;DOMC;TERA
2024-05-10 00:00:00;220.867;254.313; 74.050;117.433;1261.400;115.692;150.704;323.198;425.173;   null;396.000; 97.279; 85.650;158.009;202.933;216.284;280.876; 99.689;157.705; 92.800;   null;   null;245.100;194.400;198.770;111.500; 25.340;230.360;127.790;269.930;  4.393; 16.190;111.216
2024-05-10 00:01:00;225.217;253.632; 69.950;   null;1256.300;117.483;150.784;319.041;411.394;   null;   null; 97.662; 88.660;165.276;200.667;210.590;276.011; 99.770;159.430; 96.000;   null;   null;245.900;195.290;197.010;114.610; 25.910;228.550;128.190;274.750;  5.117; 15.615;109.428
2024-05-10 00:02:00;216.833;249.994; 70.450;119.500;1270.200;117.455;149.123;317.795;425.233;   null;401.000;102.797; 87.380;157.775;200.667;209.643;275.583; 99.273;164.035; 91.867;   null;   null;251.400;195.590;200.010;113.530; 26.730;230.340;127.220;267.290;  4.521; 18.197;105.852
2024-05-10 00:03:00;223.100;254.035; 68.833;119.067;1274.400;115.861;148.927;318.894;419.176;339.500;401.000;105.284; 89.590;160.650;207.067;210.795;279.654; 97.565;164.331; 96.267;   null;179.120;255.000;199.300;196.230;114.860; 26.710;226.730;129.700;264.300;  4.647; 16.529;105.852
2024-05-10 00:04:00;222.600;256.309; 71.933;118.950;1290.200;115.859;151.099;323.218;432.783;   null;403.000;103.772; 89.370;166.829;204.400;203.746;272.327;100.469;159.647; 95.733;   null;173.490;   null;195.430;197.710;112.790; 24.590;230.410;128.260;268.650;  4.774; 16.150;105.032
2024-05-10 00:05:00;220.417;255.191; 67.650;120.533;1278.800;118.438;150.238;319.686;421.252;   null;405.000; 99.518; 87.560;165.788;201.867;210.581;282.082; 93.360;160.470; 97.733;   null;171.010;248.300;196.590;202.490;112.710; 26.180;228.090;129.470;267.050;  4.557; 17.089;108.605
2024-05-10 00:06:00;218.400;253.651; 71.683;120.667;1274.600;114.016;150.272;327.277;422.683;   null;409.000;102.642; 91.750;161.758;203.467;210.583;280.194; 98.778;153.943; 94.933;199.010;174.320;   null;200.060;200.530;113.190; 27.120;229.880;128.870;268.020;  4.304; 18.047;112.153
2024-05-10 00:07:00;220.167;253.478; 66.183;116.683;1287.900;116.347;145.586;322.388;419.488;   null;400.000; 99.760; 86.880;168.383;203.333;207.206;282.300; 96.552;158.043; 93.467;204.960;178.720;255.500;196.080;200.880;110.140; 26.000;225.600;127.190;264.920;  4.829; 17.955;110.968
2024-05-10 00:08:00;216.067;260.665; 67.267;122.217;1262.800;117.013;148.705;319.279;422.945;   null;403.000;105.471; 89.540;164.441;202.533;213.861;276.626;101.618;164.329; 96.667;197.390;178.860;   null;197.280;196.850;114.320; 26.980;235.320;129.520;272.220;  4.303; 16.966;108.569
2024-05-10 00:09:00;222.333;258.899; 72.467;120.600;1265.800;115.190;149.415;329.389;426.664;   null;402.000;102.667; 88.660;166.298;205.867;211.755;278.405; 98.461;164.871; 95.600;198.600;178.770;   null;197.690;200.100;114.970; 26.810;225.620;128.280;262.510;  4.683; 16.799;106.061
