station,metric,t0,t_sig,lead_min,event
MXCO,entropy,2024-05-10 21:18:00,2024-05-10 13:40:00,-458.0,20240510
MXCO,sampen,2024-05-10 21:18:00,2024-05-10 17:40:00,-218.0,20240510
MXCO,permutation_entropy,2024-05-10 21:18:00,2024-05-10 17:30:00,-228.0,20240510
MXCO,shannon_entropy,2024-05-10 21:18:00,2024-05-10 17:55:00,-203.0,20240510
MXCO,spectral_entropy,2024-05-10 21:18:00,2024-05-10 14:55:00,-383.0,20240510
MXCO,app_entropy,2024-05-10 21:18:00,2024-05-10 20:30:00,-48.0,20240510
MXCO,hurst,2024-05-10 21:18:00,,,20240510
MXCO,dfa,2024-05-10 21:18:00,,,20240510
MXCO,mfhurst_b,2024-05-10 21:18:00,,,20240510
MXCO,higuchi_fd,2024-05-10 21:18:00,2024-05-10 13:40:00,-458.0,20240510
MXCO,katz_fd,2024-05-10 21:18:00,2024-05-10 17:40:00,-218.0,20240510
MXCO,petrosian_fd,2024-05-10 21:18:00,2024-05-10 17:20:00,-238.0,20240510
MXCO,lepel_ziv,2024-05-10 21:18:00,2024-05-10 13:45:00,-453.0,20240510
MXCO,corr_dim,2024-05-10 21:18:00,2024-05-10 17:15:00,-243.0,20240510
DOMB,entropy,2024-05-10 19:28:00,2024-05-10 11:50:00,-458.0,20240510
DOMB,sampen,2024-05-10 19:28:00,2024-05-10 18:00:00,-88.0,20240510
DOMB,permutation_entropy,2024-05-10 19:28:00,2024-05-10 13:55:00,-333.0,20240510
DOMB,shannon_entropy,2024-05-10 19:28:00,2024-05-10 15:40:00,-228.0,20240510
DOMB,spectral_entropy,2024-05-10 19:28:00,2024-05-10 16:55:00,-153.0,20240510
DOMB,app_entropy,2024-05-10 19:28:00,2024-05-10 18:00:00,-88.0,20240510
DOMB,hurst,2024-05-10 19:28:00,,,20240510
DOMB,dfa,2024-05-10 19:28:00,,,20240510
DOMB,mfhurst_b,2024-05-10 19:28:00,,,20240510
DOMB,higuchi_fd,2024-05-10 19:28:00,2024-05-10 13:10:00,-378.0,20240510
DOMB,katz_fd,2024-05-10 19:28:00,,,20240510
DOMB,petrosian_fd,2024-05-10 19:28:00,2024-05-10 14:00:00,-328.0,20240510
DOMB,lepel_ziv,2024-05-10 19:28:00,,,20240510
DOMB,corr_dim,2024-05-10 19:28:00,2024-05-10 19:00:00,-28.0,20240510
SOPO,entropy,2024-05-10 18:29:00,2024-05-10 10:50:00,-459.0,20240510
SOPO,sampen,2024-05-10 18:29:00,2024-05-10 17:20:00,-69.0,20240510
SOPO,permutation_entropy,2024-05-10 18:29:00,,,20240510
SOPO,shannon_entropy,2024-05-10 18:29:00,2024-05-10 17:05:00,-84.0,20240510
SOPO,spectral_entropy,2024-05-10 18:29:00,2024-05-10 17:10:00,-79.0,20240510
SOPO,app_entropy,2024-05-10 18:29:00,2024-05-10 18:25:00,-4.0,20240510
SOPO,hurst,2024-05-10 18:29:00,2024-05-10 12:40:00,-349.0,20240510
SOPO,dfa,2024-05-10 18:29:00,,,20240510
SOPO,mfhurst_b,2024-05-10 18:29:00,,,20240510
SOPO,higuchi_fd,2024-05-10 18:29:00,2024-05-10 11:50:00,-399.0,20240510
SOPO,katz_fd,2024-05-10 18:29:00,2024-05-10 11:30:00,-419.0,20240510
