station,metric,t0,t_sig,lead_min,event
ATHN,entropy,2023-04-24 14:07:00,2023-04-24 09:30:00,-277.0,20230423
ATHN,sampen,2023-04-24 14:07:00,,,20230423
ATHN,permutation_entropy,2023-04-24 14:07:00,2023-04-24 06:50:00,-437.0,20230423
ATHN,shannon_entropy,2023-04-24 14:07:00,2023-04-24 08:20:00,-347.0,20230423
ATHN,spectral_entropy,2023-04-24 14:07:00,,,20230423
ATHN,app_entropy,2023-04-24 14:07:00,2023-04-24 11:10:00,-177.0,20230423
ATHN,hurst,2023-04-24 14:07:00,2023-04-24 08:10:00,-357.0,20230423
ATHN,dfa,2023-04-24 14:07:00,,,20230423
ATHN,mfhurst_b,2023-04-24 14:07:00,,,20230423
ATHN,higuchi_fd,2023-04-24 14:07:00,2023-04-24 08:00:00,-367.0,20230423
ATHN,katz_fd,2023-04-24 14:07:00,2023-04-24 08:05:00,-362.0,20230423
ATHN,petrosian_fd,2023-04-24 14:07:00,,,20230423
ATHN,lepel_ziv,2023-04-24 14:07:00,2023-04-24 09:35:00,-272.0,20230423
ATHN,corr_dim,2023-04-24 14:07:00,2023-04-24 07:40:00,-387.0,20230423
DOMB,entropy,2023-04-23 19:41:00,2023-04-23 12:05:00,-456.0,20230423
DOMB,sampen,2023-04-23 19:41:00,2023-04-23 15:05:00,-276.0,20230423
DOMB,permutation_entropy,2023-04-23 19:41:00,,,20230423
DOMB,shannon_entropy,2023-04-23 19:41:00,2023-04-23 18:15:00,-86.0,20230423
DOMB,spectral_entropy,2023-04-23 19:41:00,2023-04-23 12:05:00,-456.0,20230423
DOMB,app_entropy,2023-04-23 19:41:00,2023-04-23 13:35:00,-366.0,20230423
DOMB,hurst,2023-04-23 19:41:00,,,20230423
DOMB,dfa,2023-04-23 19:41:00,,,20230423
DOMB,mfhurst_b,2023-04-23 19:41:00,,,20230423
DOMB,higuchi_fd,2023-04-23 19:41:00,2023-04-23 13:55:00,-346.0,20230423
DOMB,katz_fd,2023-04-23 19:41:00,2023-04-23 15:20:00,-261.0,20230423
DOMB,petrosian_fd,2023-04-23 19:41:00,2023-04-23 12:05:00,-456.0,20230423
DOMB,lepel_ziv,2023-04-23 19:41:00,,,20230423
DOMB,corr_dim,2023-04-23 19:41:00,,,20230423
SOPO,entropy,2023-04-23 18:28:00,2023-04-23 10:50:00,-458.0,20230423
SOPO,sampen,2023-04-23 18:28:00,,,20230423
