metric,detection_rate,n_detect,lead_median_min,lead_q25_min,lead_q75_min,lead_IQR_min
entropy,0.9642857142857143,27,-459.0,-460.0,-457.0,3.0
app_entropy,0.9285714285714286,26,-201.0,-316.0,-70.25,245.75
higuchi_fd,0.9285714285714286,26,-279.5,-368.75,-194.5,174.25
permutation_entropy,0.9285714285714286,26,-180.5,-236.25,-53.0,183.25
shannon_entropy,0.9285714285714286,26,-259.0,-370.5,-195.5,175.0
sampen,0.8928571428571429,25,-339.0,-406.0,-205.0,201.0
spectral_entropy,0.8928571428571429,25,-383.0,-425.0,-267.0,158.0
corr_dim,0.8571428571428571,24,-231.5,-306.5,-106.5,200.0
lepel_ziv,0.8214285714285714,23,-343.0,-445.0,-247.0,198.0
petrosian_fd,0.8214285714285714,23,-259.0,-387.5,-179.0,208.5
katz_fd,0.7857142857142857,22,-321.0,-414.5,-176.0,238.5
hurst,0.39285714285714285,11,-349.0,-395.0,-240.5,154.5
dfa,0.0,0,,,,
mfhurst_b,0.0,0,,,,
