metric,detection_rate,n_detect,lead_median_min,lead_q25_min,lead_q75_min,lead_IQR_min
entropy,0.9454545454545454,52,-458.0,-460.0,-456.0,4.0
shannon_entropy,0.9272727272727272,51,-300.0,-401.0,-196.5,204.5
app_entropy,0.9090909090909091,50,-203.0,-308.5,-111.5,197.0
higuchi_fd,0.8727272727272727,48,-296.0,-367.75,-192.25,175.5
corr_dim,0.8545454545454545,47,-227.0,-340.0,-119.0,221.0
sampen,0.8545454545454545,47,-273.0,-388.5,-170.0,218.5
spectral_entropy,0.8363636363636363,46,-365.5,-424.75,-271.5,153.25
lepel_ziv,0.8181818181818182,45,-320.0,-432.0,-245.0,187.0
petrosian_fd,0.8,44,-261.0,-360.25,-162.5,197.75
katz_fd,0.7818181818181819,43,-305.0,-407.5,-125.5,282.0
permutation_entropy,0.7818181818181819,43,-196.0,-275.5,-104.0,171.5
hurst,0.41818181818181815,23,-273.0,-363.0,-191.0,172.0
dfa,0.0,0,,,,
mfhurst_b,0.0,0,,,,
