metric,detection_rate,n_detect,lead_median_min,lead_q25_min,lead_q75_min,lead_IQR_min
entropy,0.9259259259259259,25,-457.0,-459.0,-377.0,82.0
shannon_entropy,0.9259259259259259,25,-358.0,-416.0,-200.0,216.0
app_entropy,0.8888888888888888,24,-207.0,-287.5,-138.75,148.75
corr_dim,0.8518518518518519,23,-215.0,-363.5,-125.5,238.0
higuchi_fd,0.8148148148148148,22,-308.5,-361.75,-183.25,178.5
lepel_ziv,0.8148148148148148,22,-308.0,-377.5,-234.75,142.75
sampen,0.8148148148148148,22,-219.0,-276.0,-156.0,120.0
katz_fd,0.7777777777777778,21,-261.0,-376.0,-117.0,259.0
petrosian_fd,0.7777777777777778,21,-263.0,-336.0,-119.0,217.0
spectral_entropy,0.7777777777777778,21,-347.0,-424.0,-289.0,135.0
permutation_entropy,0.6296296296296297,17,-210.0,-308.0,-169.0,139.0
hurst,0.4444444444444444,12,-243.5,-320.25,-145.25,175.0
dfa,0.0,0,,,,
mfhurst_b,0.0,0,,,,
entropy,0.9642857142857143,27,-459.0,-460.0,-457.0,3.0
app_entropy,0.9285714285714286,26,-201.0,-316.0,-70.25,245.75
higuchi_fd,0.9285714285714286,26,-279.5,-368.75,-194.5,174.25
permutation_entropy,0.9285714285714286,26,-180.5,-236.25,-53.0,183.25
shannon_entropy,0.9285714285714286,26,-259.0,-370.5,-195.5,175.0
sampen,0.8928571428571429,25,-339.0,-406.0,-205.0,201.0
spectral_entropy,0.8928571428571429,25,-383.0,-425.0,-267.0,158.0
corr_dim,0.8571428571428571,24,-231.5,-306.5,-106.5,200.0
lepel_ziv,0.8214285714285714,23,-343.0,-445.0,-247.0,198.0
petrosian_fd,0.8214285714285714,23,-259.0,-387.5,-179.0,208.5
katz_fd,0.7857142857142857,22,-321.0,-414.5,-176.0,238.5
hurst,0.39285714285714285,11,-349.0,-395.0,-240.5,154.5
dfa,0.0,0,,,,
mfhurst_b,0.0,0,,,,
