metric,detection_rate,lead_med,lead_p25,lead_p75,n_detect
entropy,0.9642857142857143,-459.0,-460.0,-457.0,27.0
app_entropy,0.9285714285714286,-201.0,-316.0,-70.25,26.0
higuchi_fd,0.9285714285714286,-279.5,-368.75,-194.5,26.0
permutation_entropy,0.9285714285714286,-180.5,-236.25,-53.0,26.0
shannon_entropy,0.9285714285714286,-259.0,-370.5,-195.5,26.0
sampen,0.8928571428571429,-339.0,-406.0,-205.0,25.0
spectral_entropy,0.8928571428571429,-383.0,-425.0,-267.0,25.0
corr_dim,0.8571428571428571,-231.5,-306.5,-106.5,24.0
lepel_ziv,0.8214285714285714,-343.0,-445.0,-247.0,23.0
petrosian_fd,0.8214285714285714,-259.0,-387.5,-179.0,23.0
katz_fd,0.7857142857142857,-321.0,-414.5,-176.0,22.0
hurst,0.39285714285714285,-349.0,-395.0,-240.5,11.0
dfa,0.0,,,,
mfhurst_b,0.0,,,,
